Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE,Zunahme pro Tag
24. Februar 2020,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0
25. Februar 2020,1,14,0,0,0,0,2,0,0,1,0,0,0,0,0,0,18,2
26. Februar 2020,3,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,21,3
27. Februar 2020,6,14,0,0,0,0,2,0,0,4,0,0,0,0,0,0,26,5
28. Februar 2020,10,15,0,0,0,0,2,0,0,25,0,0,0,0,1,0,53,27
29. Februar 2020,14,15,0,0,0,0,5,0,0,30,1,0,0,0,1,0,66,13
1. März 2020,    15,19,0,0,1,1,10,0,1,66,2,0,0,0,2,0,117,51
2. März 2020,    19,25,1,0,1,1,12,0,1,86,2,0,0,0,2,0,150,33
3. März 2020,    26,35,3,1,1,2,12,0,1,101,2,0,1,0,2,1,188,38
4. März 2020,    44,48,6,1,2,2,12,3,4,111,2,1,1,0,2,1,240,52
5. März 2020,    73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1,400,160
6. März 2020,    96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1,639,239
7. März 2020,    170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2,795,156
8. März 2020,    182,172,40,4,4,13,19,8,21,398,19,4,7,0,9,2,902,107
9. März 2020,    204,256,48,6,4,17,26,10,38,484,17,6,12,0,9,2,1139,237
10. März 2020,   237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1296,157
11. März 2020,   277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10,1567,271
12. März 2020,   454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14,2369,802
13. März 2020,   454,558,174,44,42,99,148,33,230,936,102,40,83,42,48,29,3062,693
14. März 2020,   569,681,216,61,50,158,203,45,253,1154,121,40,93,45,60,46,3795,733
15. März 2020,   827,886,265,84,53,162,286,50,287,1407,168,32,130,47,103,51,4838,1043
16. März 2020,   1105,1067,300,94,56,260,342,51,391,1541,325,85,140,77,123,55,6012,1174
17. März 2020,   1479,1109,345,73,57,310,373,45,325,2105,442,75,182,58,127,51,7156,1144
18. März 2020,   1609,1243,391,92,69,358,432,56,478,2372,474,88,198,105,159,74,8198,1042
19. März 2020,   2155,1692,573,134,80,432,682,98,669,3033,637,99,275,140,202,98,10999,2801
20. März 2020,   2746,2401,731,192,121,586,813,131,803,3497,801,146,394,180,266,149,13957,2958
21. März 2020,   3668,2960,866,254,142,587,1080,165,1023,3542,938,187,567,188,308,187,16662,2705
22. März 2020,   3807,3650,1024,274,165,872,1175,172,1306,3545,1053,187,606,211,347,216,18610,1948
23. März 2020,   3811,4892,1077,288,170,943,1347,172,1483,5615,1177,200,653,212,383,249,22672,4062
24. März 2020,   5348,5754,1220,343,183,1043,1620,199,1764,6318,1370,337,811,321,478,327,27436,4764
25. März 2020,   6069,6558,1428,429,200,1262,1754,218,2140,7197,1591,403,959,375,577,394,31554,4118
26. März 2020,   7283,7993,1656,477,211,1265 ,2157,244,2347,7924,1816,433,1141,418,675,468,36508,4954
27. März 2020,   8161,9481,1955,537,241,1693,2323,259,2810,9235,1971,505,1305,458,812,542,42288,5780
28. März 2020,   9781,11150,2161,645,260,1765,2604,308,3150,10607,2212,550,1432,458,915,584,48582,6294
29. März 2020,   9794,12881,2360,721,275,1846,2605,348,3450,11400,2396,560,1617,592,1005,697,52547,3965
30. März 2020,   10943,13989,2464,761,286,2053,3091,356,3732,12178,2584,706,1795,592,1049,719,57298,4751
31. März 2020,   12334,14810,2575,798,294,2191,3283,366,4063,13225,2726,782,1882,680,1120,784,61913,4616
1. April 2020,   13410,16497,2754,881,311,2311,3445,406,4382,14351,2899,829,2034,750,1246,860,67366,5453
2. April 2020,   14662,18496,2970,995,327,2406,3707,438,4695,15427,3132,1020,2183,804,1335,925,73522,6156
3. April 2020,   16059,20237,3202,1075,341,2596,3993,468,5081,16606,3362,1079,2336,836,1443,982,79696,6174
4. April 2020,   17014,21908,3471,1211,354,2697,4279,501,5571,17885,3504,1265,2591,896,1559,1072,85778,6082
5. April 2020,   18614,23846,3613,1305,394,2945,4575,523,5712,18735,3663,1358,2741,919,1631,1140,91714,5936
6. April 2020,   19395,24974,3670,1345,397,2993,4674,528,5960,19384,3882,1483,2903,956,1671,1176,95391,3677
7. April 2020,   20141,26163,3845,1384,399,3059,4837,531,6200,20220,3992,1532,2997,987,1730,1208,99225,3834
8. April 2020,   20680,27564,4028,1472,424,3165,4965,555,6385,20929,4148,1637,3144,1020,1827,1285,103228,4003
9. April 2020,   21603,28827,4202,1578,445,3320,5242,572,6804,21961,4336,1693,3261,1075,1932,1351,108202,4974
10.April 2020,   22433,30363,4349,1691,454,3551,5694,586,7114,23028,4440,1854,3402,1121,2029,1416,113525,5323
11.April 2020,   23617,31453,4458,1764,469,3663,5808,601,7343,23644,4622,2016,3565,1135,2065,1435,117658,4133
12.April 2020,   24078,32282,4567,1857,480,3742,5859,605,7602,24267,4734,2058,3600,1166,2118,1464,120479,2821
13.April 2020,   24570,33015,4601,1880,486,3770,6114,618,7723,24883,4810,2079,3655,1193,2134,1485,123016,2537
14.April 2020,   25040,33569,4668,1916,492,3808,6183,619,7885,25300,4880,2112,3751,1207,2164,1504,125098,2082
15.April 2020,   25438,34294,4722,1950,500,3869,6347,624,8019,25835,5004,2145,3819,1223,2245,1550,127584,2486
16.April 2020,   25881,35142,4848,2058,507,3953,6470,634,8188,26383,5087,2201,3955,1248,2294,1601,130450,2866
17.April 2020,   26543,36027,4945,2120,556,4005,6705,634,8442,27030,5211,2254,4048,1279,2348,1682,133830,3380
18.April 2020,   27258,36881,5066,2161,567,4118,6916,645,8649,28006,5324,2289,4140,1315,2387,1717,137439,3609
19.April 2020,   27883,37407,5169,2221,585,4167,7108,651,8797,28471,5432,2303,4190,1350,2417,1756,139897,2458
20.April 2020,   28253,37849,5196,2238,604,4185,7177,653,8900,28971,5523,2314,4229,1369,2426,1785,141672,1775
21.April 2020,   28712,38310,5237,2275,609,4204,7231,655,9098,29389,5561,2328,4253,1383,2414,1798,143457,1785
22.April 2020,   28898,38814,5312,2389,624,4204,7380,656,9236,30185,5593,2367,4273,1395,2496,1872,145694,2237
23.April 2020,   29443,39395,5324,2447,672,4286,7593,659,9391,30584,5643,2395,4327,1425,2530,1932,148046,2352
24.April 2020,   29792,39939,5459,2536,707,4358,7712,661,9544,31106,5731,2445,4377,1436,2557,2023,150383,2337
25.April 2020,   30169,40547,5525,2627,719,4400,7837,667,9691,31465,5767,2468,4406,1480,2612,2058,152438,2055
26.April 2020,   30761,40912,5600,2694,739,4429,7946,673,9785,31669,5835,2482,4428,1494,2630,2098,154175,1737
27.April 2020,   31043,41070,5638,2721,754,4475,7979,674,9847,31879,5879,2503,4458,1515,2638,2120,155193,1018
28.April 2020,   31196,41406,5669,2747,759,4505,8026,675,9926,32184,5928,2509,4490,1520,2653,2144,156337,1144
29.April 2020,   31336,41830,5734,2768,797,4525,8184,687,9972,32429,5982,2514,4509,1525,2679,2170,157641,1304
30.April 2020,   31609,42080,5827,2831,827,4562,8304,690,10067,32687,6029,2552,4561,1549,2690,2254,159119,1478
1. Mai   2020,   31919,42489,5887,2872,859,4604,8376,693,10141,33058,6086,2581,4592,1564,2714,2323,160758,1639
2. Mai   2020,   32146,42658,5943,2886,871,4609,8486,695,10246,33216,6099,2597,4617,1571,2728,2335,161703,945
3. Mai   2020,   32291,42792,5976,2905,875,4631,8524,698,10283,33428,6133,2605,4696,1576,2738,2345,162496,793
4. Mai   2020,   32411,42997,6010,2914,893,4636,8549,699,10325,33560,6150,2608,4702,1578,2788,2355,163175,679
5. Mai 2020,     32482,43162,6042,2940,895,4644,8585,703,10380,33728,6160,2618,4745,1585,2799,2392,163860,685
6. Mai 2020,     32576,43371,6092,2969,916,4664,8642,711,10453,33977,6191,2627,4784,1590,2815,2429,164807,947
7. Mai 2020,     32762,43658,6149,2999,963,4704,8736,715,10564,34249,6213,2655,4836,1602,2834,2452,166091,1284
8. Mai 2020,     32898,43905,6209,3037,997,4753,8850,718,10686,34522,6241,2658,4839,1615,2860,2512,167300,1209
9. Mai 2020,     33105,44169,6242,3098,1024,4772,8916,722,10803,34817,6282,2660,4873,1637,2898,2533,168551,1251
10. Mai 2020,    33287,44265,6261,3101,1043,4772,8998,726,10827,34964,6291,2663,4886,1640,2938,2556,169218,667
11. Mai 2020,    33190,44368,6272,3106,1055,4780,9012,728,10854,35132,6313,2665,4915,1643,2957,2585,169575,357
12. Mai 2020,    33359,44593,6274,3106,1058,4960,9031,729,10895,35333,6355,2665,4947,1648,2956,2594,170508,933
13. Mai 2020,    33518,44802,6298,3125,1077,4972,9087,736,10903,35555,6360,2667,4962,1650,2972,2622,171306,798
14. Mai 2020,    33670,44980,6342,3135,1104,4976,9169,739,11003,35741,6382,2677,5031,1656,2982,2652,172239,933
15. Mai 2020,    33851,45143,6342,3158,1129,4981,9204,740,11087,35967,6413,2684,5061,1668,2998,2681,173152,913
16. Mai 2020,    33893,45340,6428,3169,1150,5017,9261,746,11092,36065,6449,2688,5089,1676,2998,2711,173772,620